#t, Enzyme, Substrate, Compound, Product
0.000000, 5, 5, 0, 0
0.025079, 4, 4, 1, 0
0.076841, 3, 3, 2, 0
0.083472, 4, 4, 1, 0
0.105937, 3, 3, 2, 0
0.274911, 2, 2, 3, 0
0.296521, 3, 3, 2, 0
0.306565, 2, 2, 3, 0
0.360234, 1, 1, 4, 0
0.805878, 2, 2, 3, 0
0.936270, 1, 1, 4, 0
1.621606, 0, 0, 5, 0
1.835646, 1, 1, 4, 0
1.836429, 2, 2, 3, 0
1.995144, 1, 1, 4, 0
2.720274, 2, 2, 3, 0
2.851054, 1, 1, 4, 0
3.286076, 2, 2, 3, 0
3.408084, 1, 1, 4, 0
3.441786, 0, 0, 5, 0
4.669211, 1, 1, 4, 0
4.718310, 2, 2, 3, 0
5.252273, 3, 3, 2, 0
5.347442, 2, 2, 3, 0
5.357731, 1, 1, 4, 0
5.418631, 2, 2, 3, 0
5.513554, 1, 1, 4, 0
5.683203, 2, 2, 3, 0
5.724116, 3, 3, 2, 0
5.748857, 2, 2, 3, 0
5.800353, 1, 1, 4, 0
6.846934, 2, 2, 3, 0
6.857282, 1, 1, 4, 0
7.399670, 0, 0, 5, 0
8.593457, 1, 1, 4, 0
10.483771, 2, 2, 3, 0
10.719022, 1, 1, 4, 0
10.822323, 0, 0, 5, 0
10.967120, 1, 1, 4, 0
11.017547, 0, 0, 5, 0
12.455435, 1, 1, 4, 0
12.646248, 0, 0, 5, 0
12.994909, 1, 1, 4, 0
13.308291, 0, 0, 5, 0
13.496356, 1, 1, 4, 0
13.635527, 0, 0, 5, 0
14.162110, 1, 1, 4, 0
14.981667, 0, 0, 5, 0
15.295612, 1, 1, 4, 0
16.013874, 2, 2, 3, 0
16.164816, 1, 1, 4, 0
16.408886, 0, 0, 5, 0
16.544838, 1, 1, 4, 0
16.795765, 0, 0, 5, 0
17.816880, 1, 1, 4, 0
18.091471, 2, 2, 3, 0
18.389028, 1, 1, 4, 0
18.389892, 2, 2, 3, 0
18.828719, 1, 1, 4, 0
19.071897, 2, 2, 3, 0
19.446566, 1, 1, 4, 0
20.455058, 2, 2, 3, 0
20.462304, 3, 3, 2, 0
20.695125, 2, 2, 3, 0
20.703333, 3, 3, 2, 0
20.814234, 2, 2, 3, 0
20.917826, 1, 1, 4, 0
21.844293, 2, 2, 3, 0
22.153684, 3, 3, 2, 0
22.293914, 4, 4, 1, 0
22.295742, 3, 3, 2, 0
22.327588, 2, 2, 3, 0
22.666064, 1, 1, 4, 0
23.207385, 2, 2, 3, 0
23.444991, 1, 1, 4, 0
23.779401, 0, 0, 5, 0
23.821070, 1, 1, 4, 0
23.862787, 2, 2, 3, 0
24.041783, 1, 1, 4, 0
24.306584, 2, 2, 3, 0
24.321104, 1, 1, 4, 0
24.466948, 0, 0, 5, 0
24.539351, 1, 1, 4, 0
24.542030, 2, 1, 3, 1
25.587040, 3, 2, 2, 1
25.629466, 2, 1, 3, 1
25.751290, 1, 0, 4, 1
25.830973, 2, 0, 3, 2
27.241978, 3, 1, 2, 2
27.331342, 2, 0, 3, 2
28.855600, 3, 1, 2, 2
29.756116, 4, 2, 1, 2
30.205961, 3, 1, 2, 2
30.339531, 2, 0, 3, 2
